sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.37   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.35   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3810.00     0.00 3901440.00  1024.00   126.37   33.18   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.39   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.41   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.51   33.15   0.26 100.10
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.38   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.36   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.39   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.35   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3766.00     0.00 3856384.00  1024.00   126.42   33.57   0.27 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.40   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.43   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.43   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.44   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.38   33.12   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.42   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.43   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.43   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.56   33.14   0.26 100.10
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.37   33.12   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3811.00     0.00 3902464.00  1024.00   126.40   33.17   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.40   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.39   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.38   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.40   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.38   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.40   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.34   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3812.00     0.00 3903488.00  1024.00   126.33   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.39   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.36   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.37   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3807.00     0.00 3898368.00  1024.00   126.40   33.21   0.26 100.00
sdb               0.00     0.00    0.00 3812.00     0.00 3903488.00  1024.00   126.33   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3808.00     0.00 3899392.00  1024.00   126.38   33.20   0.26 100.00
sdb               0.00     0.00    0.00 3807.00     0.00 3898368.00  1024.00   126.33   33.18   0.26 100.00
sdb               0.00     0.00    0.00 3813.00     0.00 3904512.00  1024.00   126.38   33.14   0.26 100.00
